name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
AJ Brown,https://www.on3.com/db/aj-brown-57/,SG,JR,6-4,195.0,Orlando Christian Prep,"(Orlando, FL)",87.1,,Committed,Ohio,Florida Gators,https://www.cbssports.com/college-basketball/players/28954244/aj-brown/,G,OHIO,29,29,26.6,13.2,123,261,47.1,54,139,38.8,82,100,82.0,29,29,26.6,31,62,93,3.2,29,29,32,1.1,36,1.2,0.9,29,29,37,1.3,29,29,2,0.1
AJ Casey,https://www.on3.com/db/aj-casey-2139/,PF,JR,6-8,180.0,Whitney Young,"(Chicago, IL)",92.79,,Entered,Saint Louis,,https://www.cbssports.com/college-basketball/players/28954289/aj-casey/,F,STLOU,3,0,7.0,1.7,2,2,100.0,1,1,100.0,0,0,—,3,0,7.0,1,4,5,1.7,3,0,0,0.0,3,1.0,0.0,3,0,0,0.0,3,0,2,0.7
AJ George,https://www.on3.com/db/aj-george-199947/,SG,JR,6-6,190.0,Herbert Hoover,"(Fresno, CA)",,,Entered,SMU,,https://www.cbssports.com/college-basketball/players/26778851/aj-george/,G,SMU,22,0,6.6,2.0,15,25,60.0,2,6,33.3,12,18,66.7,22,0,6.6,6,16,22,1.0,22,0,5,0.2,8,0.4,0.6,22,0,4,0.2,22,0,2,0.1
AJ Lopez,https://www.on3.com/db/aj-lopez-178518/,CG,RS-JR,6-5,170.0,Mount Zion Christian Schools,"(Queens Village, NY)",,,Entered,Maine,,https://www.cbssports.com/college-basketball/players/26775476/aj-lopez/,G,MAINE,34,33,30.8,14.7,172,359,47.9,56,139,40.3,101,115,87.8,34,33,30.8,5,74,79,2.3,34,33,39,1.1,51,1.5,0.8,34,33,27,0.8,34,33,5,0.1
AJ Smith,https://www.on3.com/db/aj-smith-2230/,SG,JR,6-3,190.0,Combine Academy,"(Charlotte, NC)",88.0,,Entered,College of Charleston,,https://www.cbssports.com/college-basketball/players/28952318/aj-smith/,G,JMAD,32,32,24.1,7.3,71,167,42.5,16,51,31.4,75,93,80.6,32,32,24.1,87,113,200,6.3,32,32,28,0.9,38,1.2,0.7,32,32,28,0.9,32,32,17,0.5
AJ Smith,https://www.on3.com/db/aj-smith-2230/,SG,JR,6-3,190.0,Combine Academy,"(Charlotte, NC)",88.0,,Entered,College of Charleston,,https://www.cbssports.com/college-basketball/players/28973166/aj-smith/,G,CHARLS,30,22,25.4,11.5,122,283,43.1,19,76,25.0,82,109,75.2,30,22,25.4,35,59,94,3.1,30,22,26,0.9,34,1.1,0.8,30,22,20,0.7,30,22,1,0.0
AJ Storr,https://www.on3.com/db/aj-storr-2235/,SG,JR,6-5,180.0,Bishop Gorman,"(Rockford, IL)",93.71,,Committed,Kansas,Ole Miss Rebels,https://www.cbssports.com/college-basketball/players/28953782/aj-storr/,G,KANSAS,34,4,15.7,6.1,76,198,38.4,23,79,29.1,32,47,68.1,34,4,15.7,13,44,57,1.7,34,4,24,0.7,30,0.9,0.8,34,4,10,0.3,34,4,5,0.1
AK Okereke,https://www.on3.com/db/ak-okereke-250308/,PF,JR,6-7,241.0,Clovis North,"(Clovis, CA)",,,Committed,Cornell,Vanderbilt Commodores,https://www.cbssports.com/college-basketball/players/29019945/ak-okereke/,F,CORN,29,28,25.7,13.9,147,247,59.5,17,53,32.1,92,116,79.3,29,28,25.7,34,99,133,4.6,29,28,120,4.1,55,1.9,2.2,29,28,31,1.1,29,28,31,1.1
Aaron Bradshaw,https://www.on3.com/db/aaron-bradshaw-350/,PF,SO,7-1,210.0,Camden,"(Rahway, NJ)",92.2,,Committed,Ohio State,Memphis Tigers,https://www.cbssports.com/college-basketball/players/29235061/aaron-bradshaw/,F,OHIOST,22,5,16.9,6.0,50,102,49.0,9,33,27.3,23,31,74.2,22,5,16.9,22,38,60,2.7,22,5,5,0.2,8,0.4,0.6,22,5,14,0.6,22,5,16,0.7
Aaron Gray,https://www.on3.com/db/aaron-gray-179309/,SF,SR,6-7,215.0,Commonwealth Academy,"(Providence, RI)",90.0,,Entered,Indiana State,,https://www.cbssports.com/college-basketball/players/28954955/aaron-gray/,F,INDST,25,16,23.8,10.5,91,169,53.8,19,65,29.2,62,84,73.8,25,16,23.8,42,107,149,6.0,25,16,15,0.6,29,1.2,0.5,25,16,14,0.6,25,16,5,0.2
Abdi Bashir Jr.,https://www.on3.com/db/abdi-bashir-jr-249499/,SG,SO,6-7,160.0,PHHoenix Prep,"(Omaha, NE)",,,Committed,Monmouth College,Kansas State Wildcats,https://www.cbssports.com/college-basketball/players/29232207/abdi-bashir-jr/,G,MNMTH,33,32,33.2,20.1,222,589,37.7,127,332,38.3,92,106,86.8,33,32,33.2,8,79,87,2.6,33,32,73,2.2,91,2.8,0.8,33,32,18,0.5,33,32,2,0.1
Achor Achor,https://www.on3.com/db/achor-achor-241308/,PF,SR,6-9,227.0,Greenforest McCalep Christian Academy,(Melbourne),92.79,,Committed,Kansas State,Mississippi State Bulldogs,https://www.cbssports.com/college-basketball/players/28954685/achor-achor/,F,SAMFORD,7,0,13.0,7.3,20,37,54.1,3,9,33.3,8,12,66.7,7,0,13.0,7,12,19,2.7,7,0,5,0.7,8,1.1,0.6,7,0,5,0.7,7,0,0,0.0
Adam Clark,https://www.on3.com/db/adam-clark-220288/,PG,SO,5-10,155.0,West Catholic Prep High School,"(Philadelphia, PA)",90.36,,Committed,Merrimack,Seton Hall Pirates,https://www.cbssports.com/college-basketball/players/29232516/adam-clark/,G,MERMAK,33,33,37.0,19.8,257,576,44.6,20,70,28.6,119,153,77.8,33,33,37.0,40,108,148,4.5,33,33,198,6.0,106,3.2,1.9,33,33,88,2.7,33,33,2,0.1
Adam Miller,https://www.on3.com/db/adam-miller-1263/,PG,RS-SR,6-3,190.0,Morgan Park HS,"(Chicago, IL)",92.95,,Entered,Arizona State,,https://www.cbssports.com/college-basketball/players/3178154/adam-miller/,G,ARIZST,30,30,29.7,9.8,101,225,44.9,57,133,42.9,34,45,75.6,30,30,29.7,14,54,68,2.3,30,30,56,1.9,42,1.4,1.3,30,30,31,1.0,30,30,1,0.0
Aday Mara,https://www.on3.com/db/aday-mara-179483/,C,SO,7-2,245.0,Casademont Zaragoza,(Zaragoza),95.29,,Committed,UCLA,Michigan Wolverines,https://www.cbssports.com/college-basketball/players/29233479/aday-mara/,C,UCLA,33,1,13.2,6.4,85,144,59.0,0,0,—,41,71,57.7,33,1,13.2,60,73,133,4.0,33,1,34,1.0,28,0.8,1.2,33,1,6,0.2,33,1,53,1.6
Addison Patterson,https://www.on3.com/db/addison-patterson-1475/,SF,-,6-6,180.0,Bella Vista College Preparatory School,"(Scottsdale, AZ)",89.0,,Entered,Northwestern State,,https://www.cbssports.com/college-basketball/players/3148390/addison-patterson/,F,NWST,31,24,28.4,13.0,137,315,43.5,17,64,26.6,112,150,74.7,31,24,28.4,42,130,172,5.5,31,24,102,3.3,80,2.6,1.3,31,24,43,1.4,31,24,14,0.5
